id;sifra_ponude;sifra_postupka;broj_partije;naziv_proizvodjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;datum_ponude;sifra_ponudjaca;selected
1;77033;65484;74446;withdrawal Fully-configurable;Group;74113;10173;2021-09-05;73722;false
2;61867;18898;37060;transmitter Cambridgeshire;relationships;2408;25847;2021-09-04;78376;true
3;95544;5224;80144;quantifying XML;Connecticut reinvent;52816;13457;2021-09-05;34250;false
4;69781;23226;76370;real-time cyan JBOD;Fantastic initiatives;91004;18209;2021-09-04;28397;true
5;77727;44985;89880;Markets functionalities SDD;intangible;6021;59400;2021-09-04;38015;false
6;32516;39377;85898;Maryland interfaces;Accountability neural;23574;14130;2021-09-04;75157;true
7;15504;67744;79413;Wooden Denar;e-tailers Monaco COM;98028;54688;2021-09-04;59096;true
8;52930;5416;40373;Licensed Tools;GB Fields;27779;52848;2021-09-05;32391;false
9;59123;37966;92813;reinvent Toys;Handcrafted Gorgeous;12281;59516;2021-09-04;94050;true
10;61117;14885;4914;parse;aggregate Garden;89527;3948;2021-09-05;68037;false
