id;sifra_postupka;broj_tendera;opis_postupka;vrsta_postupka;datum_objave;datum_otvaranja
1;28425;open-source Refined Brook;models artificial;Buckinghamshire Shoes Massachusetts;2021-09-06;2021-09-06
2;20072;relationships;Bedfordshire;Towels;2021-09-06;2021-09-05
3;68667;generation;firmware;Frozen iterate mobile;2021-09-05;2021-09-06
4;31872;Account Administrator deposit;Bike;Sports methodologies;2021-09-05;2021-09-05
5;25426;feed withdrawal Bedfordshire;Macao morph;Auto real-time;2021-09-06;2021-09-05
6;8592;reboot black;Gabon;JBOD;2021-09-06;2021-09-06
7;2457;Practical Pants Generic;Movies Fresh;Intelligent Security drive;2021-09-05;2021-09-05
8;39591;Assurance;Cambridgeshire Kentucky;West Outdoors relationships;2021-09-06;2021-09-06
9;71648;Garden;Account Representative;Peso Representative Palau;2021-09-06;2021-09-05
10;50215;reboot Self-enabling;global Planner synthesizing;user-facing;2021-09-06;2021-09-06
