id;sifra_postupka;sifra_ponude;atc;inn;zasticeni_naziv;farmaceutski_oblik_lijeka;jacina_lijeka;pakovanje;trazena_kolicina;procijenjena_vrijednost;rok_isporuke;naziv_proizvodjaca;naziv_ponudjaca;bod_cijena;bod_rok;bod_ukupno
1;43654;51371;deposit JSON;Fantastic;Fresh bypassing;Planner;visionary Gloves Won;mobile invoice;18514;24836;19648;Jewelery Bulgaria;Ways;19188;7027;79839
2;90002;88446;Crossroad Avon;actuating navigating software;transmitting US;Jersey Research transition;overriding bypassing synthesize;virtual;6279;16869;21909;engage;Frozen Solutions;44770;12831;94304
3;7960;25795;Metrics Small;Team-oriented Soft Handcrafted;SQL Specialist Cotton;Multi-lateral 4th;payment Branding navigate;Clothing neutral Fresh;60665;6007;15428;RSS Credit;innovative Ergonomic Wooden;12841;72472;8652
4;31640;14461;envisioneer;Mills;Cambridgeshire;tolerance GB deliver;Music;synthesize Engineer;58731;44285;98423;Data;Kids;49861;80876;99652
5;99187;63928;Books project;Guyana Mouse;Tasty Soft;Division scalable Plastic;Planner cutting-edge Frozen;Licensed Games web;399;14369;77512;Table deposit Bacon;Buckinghamshire workforce Games;54581;69074;56419
6;6582;64999;Senior SQL Unbranded;Books Jewelery;Kuwait;SSL;plug-and-play;array Israel;2437;97783;74983;efficient alliance driver;Plastic;25749;78769;78217
7;63467;15954;Morocco asynchronous cohesive;Quality Frozen web;Uganda Ball Utah;Developer;synergies;hack Communications Tasty;35657;83386;11387;Cloned Towels;parse;74830;68020;53752
8;64404;88158;Fully-configurable International TCP;encryption firewall;Frozen Pines;Mouse Officer;Self-enabling website compressing;tan;90304;99091;84495;olive;Saudi Belgium;6387;82151;40125
9;41545;13332;Officer Borders;Bulgaria Soap;Virtual Facilitator payment;encompassing;Salad;panel Radial Fantastic;18370;57698;51046;transparent Fresh Armenia;Open-source Outdoors;60504;54096;21524
10;33813;49300;SSL microchip Berkshire;Account;PCI up;Manager;Nevada National;Handcrafted feed dedicated;88709;39579;78872;red Licensed parse;tangible JSON static;36435;30022;10087
