id;broj_ugovora;datum_ugovora;broj_odluke;datum_odluke;iznos_ugovora_bez_pdf;sifra_postupka;sifra_ponude
1;Account;2021-09-06;B2B open-source haptic;2021-09-06;91089;47510;32583
2;override;2021-09-06;Bhutan Maldives port;2021-09-06;88826;85096;52307
3;Tuna Integration;2021-09-06;eyeballs online;2021-09-06;87930;29312;33388
4;Czech;2021-09-06;payment Future Fish;2021-09-06;81858;82659;59095
5;Fantastic parse Officer;2021-09-06;Movies Home;2021-09-06;28937;7235;63581
6;Peso Shoes Bedfordshire;2021-09-06;Courts human-resource Licensed;2021-09-06;18946;15678;37933
7;coherent state;2021-09-06;Wyoming Division;2021-09-06;38132;78208;51427
8;Cotton Cheese;2021-09-06;Account Steel;2021-09-06;74222;95444;55838
9;Fantastic;2021-09-06;Corporate;2021-09-06;47829;8253;85944
10;empower Coordinator;2021-09-06;paradigms index Jewelery;2021-09-06;4094;27322;73676
