id;sifra_postupka;sifra_ponude;broj_partije;sifra_ponudjaca;naziv_ponudjaca;naziv_proizvodjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;selected;datum_ponude
1;95773;73563;55142;62336;Delaware tan connecting;Avon Global;violet Fresh XML;73565;83764;true;2021-09-08
2;91607;77106;93870;3779;XML Reduced Checking;world-class azure;solutions Table Devolved;38610;40731;true;2021-09-08
3;47989;15672;68131;97463;Regional Forint;microchip technologies port;compelling;97738;66119;false;2021-09-08
4;64368;33616;140;64363;Tactics Lira transparent;Soap;online Avon quantifying;60602;39017;true;2021-09-08
5;55575;82488;38707;18956;productivity;plum Inlet;Tuna neural;36708;29595;true;2021-09-08
6;4570;76511;28667;84462;Inverse;Generic payment;Rustic interface;40593;27939;true;2021-09-08
7;17191;81033;25965;67103;ubiquitous engineer;strategize;Salad SDD transmit;86262;16577;false;2021-09-08
8;8669;47530;76399;51116;application utilize Wooden;Utah;Litas;28504;60414;true;2021-09-08
9;13092;41663;5468;76230;withdrawal optical;Towels invoice;redundant tan 24/365;96143;35785;false;2021-09-07
10;46685;73412;37077;17642;Small;Markets copying;capacitor Tala;90391;86183;true;2021-09-08
