id;sifra_postupka;sifra_ponude;broj_partije;atc;inn;zasticeni_naziv;farmaceutski_oblik_lijeka;jacina_lijeka;pakovanje;trazena_kolicina;procijenjena_vrijednost;ponudjena_vrijednost;rok_isporuke;naziv_proizvodjaca;naziv_ponudjaca;bod_cijena;bod_rok;bod_ukupno
1;55155;56473;76485;hybrid 24/7 USB;teal magenta;networks Pants firmware;Keyboard;Loan 5th;Steel;2571;14939;94462;55008;Account communities;Synergized;97305;41366;77131
2;1071;39372;76156;real-time Clothing;pixel Plains feed;SAS Palladium;deposit Investor Coordinator;Enterprise-wide Director Taiwan;Auto Car program;15848;18815;64869;75689;Regional Keys Dakota;synthesizing Course;84806;95118;23671
3;98806;64826;76205;Fantastic Music;Unbranded;Jamaica;whiteboard Clothing implement;Organized synthesize;Automotive Rial District;46575;24604;34951;34310;boliviano Mississippi;generate;53166;70349;84533
4;52400;42670;68024;Account;reciprocal Identity;National Investor Generic;gold input;applications;revolutionary Seychelles;50589;61932;97634;71811;Toys utilize Fresh;Soft;71340;14884;66417
5;86176;34733;49167;service-desk Quality payment;tangible Unbranded Consultant;copying Open-architected Unbranded;Investment neural;silver Burgs quantifying;Ohio deploy Investor;34725;89207;94212;35081;Metrics;hybrid XSS;8928;47924;26472
6;90960;98706;71906;target Marketing Checking;Principal Card;firewall Cambridgeshire tangible;IB Zloty;Soap Bedfordshire Electronics;parsing Granite Table;74684;82790;86086;8004;Djibouti Music reboot;programming Lebanese;61271;23206;3157
7;14777;41270;23984;Functionality;seize Dollar;compress Developer Carolina;Micronesia Plastic Islands;up;reboot Guadeloupe Grocery;32488;42510;26213;24304;Frozen Home content;mission-critical;59646;40762;67845
8;18115;77292;99305;National Mountain cross-platform;Realigned auxiliary;Versatile;Jersey Handcrafted Plaza;content;violet magenta Bike;20527;42829;73546;2023;Aruba;strategize;74459;12809;50895
9;83323;86273;23258;strategize Supervisor Rubber;Bedfordshire Security;extensible;redundant Investor;Uzbekistan robust Dynamic;CSS synthesize;6918;45707;28368;96119;Rustic;Ergonomic;17815;75130;67581
10;13144;31523;83139;Liechtenstein deposit magenta;Circle;redundant;Maine Investment;array Bedfordshire Configuration;Avon Account granular;94012;86670;43877;27791;reintermediate cross-platform;archive Dakota;72173;81829;22336
